name,address,type,opened,closed,borough,date approx.,latitude,longitude
Rounds,"303 E 53rd St, New York, NY 10022",bar/restaurant,1979,1994,Manhattan,yes,40.756764072745,-73.967002442328
New St. Marks baths,"6 St Marks Pl, New York, NY 10003",baths,1979,1985,Manhattan,no,40.72936997662,-73.989627631651
Park Villa II/On Stage,"70 Beach St, Staten Island, NY 10304",club,1979,1991,Staten Island,,40.628206047257,-74.078486895557
Fiddlesticks,"205 Cypress Ave, Ridgewood, NY 11385",restaurant,1979,1981,queens,yes,40.708254038853,-73.919827995645
Uncle Charlie's Downtown,"56 Greenwich Ave, New York, NY 10011",bar,1980,1997,Manhattan,no,40.735840304718,-74.000587562598
Our Place,"7702 Broadway, Elmhurst, NY 11373",bar,1980,1985,Queens,,40.745282236116,-73.888287060888
Blue's,"264 W 43rd St, New York, NY 10036",bar/disco,1980,1985,Manhattan,yes,40.757430853902,-73.988326971172
Madison Card & Book Shop,"123 E 57th St, New York, NY 10022",bookstore,1980,1985,Manhattan,yes,40.761250977397,-73.969738911696
Rendezvous Book Store,"38 W 28th St, New York, NY 10001",bookstore,1980,1990,Manhattan,yes,40.745423807497,-73.989214008188
Tom Cat Book Store,"38 W 28th St, New York, NY 10001",bookstore,1980,1999,Manhattan,yes,40.745423807497,-73.989214008188
Jaybird Books,"408 Jay St, Brooklyn, NY 11201",bookstore,1980,1990,Brooklyn,yes,40.69212345336,-73.987380139047
The Saint,"105 2nd Ave, New York, NY 10003",disco,1980,1988,Manhattan,,40.727550597192,-73.988520498597
Leather Loft,"313 Amsterdam Ave, New York, NY 10023",gay department store,1980,2005,Manhattan,yes,40.780303160918,-73.980310730238
A Touch of Class,"113-24 Queens Blvd, Forest Hills, NY 11375",restaurant,1980,1982,queens,yes,40.717529329886,-73.835651628936
Backstage,"318 W 45th St, New York, NY 10036",restaurant,1980,1983,Manhattan,yes,40.759502120629,-73.98935777831
